,Actor,Quotes
10,Akshaye Khanna,"I do take my work very seriously, and I am first and foremost a very dedicated actor. I am also a very shy guy so you won't find me chatting or talking that much.Personal questions, or accusations about delivering flops or not doing good films end up being accusatory sessions where I have to defend myself. That's why I prefer not to do interviews.Gandhi: My Father' is a project very close to our hearts.The fact remains that I am a very artless and incompetent writer.I don't want to be known as an unprofessional actor. There was a time I was considered unprofessional, to a certain extent. I was very uncomfortable about that.I'm open to working with anybody and everybody as long as I have faith in them and they have faith in me.I am open to working with new directors as long as the script excites me.I have always wanted to do comedy.David Dhawan is the best as far as Indian comedy films are concerned.Everyone wants to do only those films which they find interesting. That is the way the industry works."
11,Ali,"Only humility can take you places.If a film works, you get more offers, appreciation and the latter is like oxygen. We survive on that.A comedian's career span is five or 10 years. I am lucky to have worked with so many distinguished actors and their grandsons.I am lucky I got roles where I worked for just seven days and made equal impact with the hero who worked for 70 days.I've been donating all the money I earn from the TV shows to a charitable trust.I want to serve the society in my own way.I have my own style and my own body language.When I am dubbing for my character, if I laugh at the figure on the screen, I know I have done well.My daughter Fathima is a bigger comedian than me. She makes me laugh all the time.Filmmakers often tell me to watch the original version. I never do."
12,Ali Fazal,"Cinema has evolved, and it is high time we stop policing it so rigorously.I have a great connect with the city, and I know the streets of Pune by heart. As a college student, I came down to visit friends. It is a great place to chill and hang out.We have to keep pace with changing times.In Bollywood, the film's stakes are as high as the actor. In Hollywood, they are way above, and the day we realise this in our industry, we will start appreciating actors.I see myself and my contemporaries being part of some good work in Bollywood.I love 'My Beautiful Laundrette' and 'Dangerous Liaisons.'The cast of 'Fukrey' will remain the same in the sequel. But the story is more of a fresh one.Theatre gives me a different high.Theatre is like an actor's nectar, like how cinema is a director's medium.I return to the stage time and again to see if I am worth anything."
13,Allu Arjun,"Much before I entered films, my dad walked into my room and saw me busy drawing something at 3 A.M. He stood there for some time and said, 'Whatever career choice you make, you are going to be successful.' I'll never forget those words. It gave me the confidence to be who I am today.I always consult my father before I take on a project. Not just me - even my brother goes to Dad and speaks to him of his business ideas. Dad has an amazing business acumen, and it would be foolish not to take his advice. Plus, he's our dad at the end of the day, and he would want to see us succeed. He always gives us the best advice.Dad never interferes in our personal matters. He is a very candid person and knows where to draw the line. He is always there for all of us in the family.After the release of my first film 'Gangothri,' my father was so happy that he surprised me by buying me a swanky high-end car.I don't believe in awards, and I think only film fare awards are faring.If a movie crosses budget and becomes a hit, no one cares. They care only when it doesn't do well.Everything changes with time. I am not so experienced enough to analyze what the people love in me.If we give something positive to others, it will return to us. If we give negative, that negativity will be returned.There are two types of directors: the directors who take and directors who give.I keep myself away from people who talk badly about others."
14,Amitabh Bachchan,"Basically I am just another actor who loves his work and this thing about age only exists in the media.Frankly I've never really subscribed to these adjectives tagging me as an 'icon', 'superstar', etc. I've always thought of myself as an actor doing his job to the best of his ability.I just lead my life as naturally, as normally as I possibly can. But I can't help it if controversy is hounding me day in and day out. I'm quite amazed sometimes by the way they go about it. I grow a beard and it lands up in the editorial in The Times of India.I am looking forward to going to Dubai because it gives us an opportunity to interact with each other. We can sit and enjoy each other's company. We can go out for a walk without worrying about shooting schedules.No new projects at the moment. There are restrictions to how much I can take on. And I need to finish those that I am committed to do before thinking ahead. But I'd rather they take final shape before we talk of them.The amount of things I have been through and the remarkable ways in which the body has reacted is just phenomenal. No wonder I became religious, because you don't know why something's happening to you and you don't know how you bounced back.Dearest TV media and vans outside my home, please do not stress and work so hard.It's a war zone, my body, and one which has been through a great deal.I sometimes lament the fact that I do not have the benefit of a complete and ailment free body structure.I did not resign from politics because of Bofors. I resigned because I do not know how to play petty politics. I did not know back then and I don't know now either."
15,Amrish Puri,I am happy to play the bad man.I am like a brick.
16,Anil Kapoor,"Not exactly but I get inspiration from stories which are unconventional.I have lot of respect of filmmakers who work in Telugu and Tamil.Everyone starts a film thinking that it would be a big hit. But sometimes it goes haywire.But it is not conscious strategy to go for unconventional roles.If you make a feelgood film which is complete candyfloss, where everybody is good and everything is beautiful and hunky dory, it won't appeal to the audience.I ran away from my house when I was about 12 years old to audition for a film.India has the purity, the innocence. India knows what it wants. There is a direction. It has so much to offer.Instead of focusing on my looks I focus on the character that I am playing.In India I've been to all the award functions, but that was in Hindi; now it's in English so it's a much bigger scale.There are hurdles, there are handicaps, hardships you have to face in life, but you hope for a great future."
17,Anupam Kher,"I was born in a poor family, a lower middle class family. My father was a clerk in the forest department. I was very bad at studies. I was not very good at sports, also.I was 28 when I played the role of a 65 year old man in my first film.I enjoy being recognized. I'll be very sad if people stop recognizing me. I'll be very sad if I'm not interviewed, because that's a very amazing process.I wrote a book on life coaching, because my life became my own reference point how to live.Every individual suffers from the fear of failure, but you can change your destiny only when you overcome it.When I staged the play and narrated my story to the audience, people found it amazing that after facing so many hardships, I have gone on to do 482 films.Being a popular director or actor's son can be frightening in this industry. What if you are not able to make it?It is important to be financially savvy when you turn producer. As a director, you just need to have a good script in hand.I had spent many days hungry; had slept on railway stations at times because I did not have money to pay for a hotel room... there were moments when I felt I had compromised my dignity as a human being and as an actor.One time I nearly experienced failure was when I was acting in 'Hum Aapke Hain Kaun' in 1994. One day, I woke up and found that part of my face was paralysed."
18,Aparshakti Khurana,"I come from a theatre group called Drama Tech in Delhi. When its founder Mr. Chopra called me and appreciated my work, that was also satisfying because he gave me my first play.I speak Hindi with a Punjabi accent, not a Haryanvi accent.I don't want to play the lead and look like a hero. I am open to do character roles; what is the harm in it?My brother was a radio jockey while I was studying law. I have assisted a lawyer at the High Court. But I decided to give it up. I cleared auditions for radio jockey in the first go, and within a week, I was on air.Once I failed in cricket, I joined a law course, but when it also did not work out, it was another setback. When you get back-to-back failures, you automatically start to work harder in life.In 2009, it was the right time to start working in the radio industry.When you start your creative journey after failures, I think you already work to perform and want to give your best. I was blessed to have the right kind of people around me.I would call myself a radio performer who has just jumped in front of the camera and is very happy.The best thing about working with Tahira bhabhi is her positivity and clarity about what she wants from you as an artist, an actor, and even as a brother-in-law. I think she is very clear about life, and that's what I love about her.Whenever I meet people, they call me Bittu of Stree or Omkar of Dangal. And I believe not many people know that I'm the brother of Ayushmann."
19,Arbaaz Khan,"There will always be a sense of things you want to achieve, where you want to be, a sense of disappointment, a few regrets here and there. Those are always going to linger. How you cope with them and how you move on is what your life is about.I am as sensitive as my brothers and other members of my family.Being sensitive means caring for your own feelings as well as those of others.Doing funny roles is something I enjoy as I am like that in my personal life.When you are living alone then you tend to take life casually.Fatherhood has gone and done much more than marriage. It has made me a far more responsible person.I like to read. I like to spend time on the Net. I like to watch movies.I don't see myself turning into a romantic hero. I may not be comfortable doing that. I may not be cut out to do that. It may not even suit my image.I have a dormant director in me. I do think about subjects and films I want to make. I get pretty excited about them.My family, we siblings are there for each other."
20,Arfi Lamba,"It is all about playing a challenging role, and whether a film is a commercial one or not does not really matter.In 'Fugly,' I play a very middle-class guy with whom anyone can relate. At the same time, playing such characters is not as easy as it sounds.I arrived thinking I had these amazing looks and body and that I would straight away land the lead in a Yash Chopra film. Those fancy ideas got quashed soon enough.After joining theatre, I started thinking that acting in films was not half as challenging as theatre.When I didn't become the quintessential Yash Chopra hero, I got into the 'struggle' period and became negative.As a true-blue Punjabi, I have learnt to tackle disappointments, especially since I have no godfather in the industry.Success is just around the corner, but I don't want to rush into anything.I think I was born to be an actor.My role in 'Slumdog Millionaire' was a cameo, but it did expose me to cinema and took me to Cannes. I then did 'Prague,' which was a very niche film.I've been a protected child, but I moved out for further studies when I was 16, and I have travelled quite a bit by myself."
21,Arjun Kapoor,"I have made my mistakes my strengths instead of looking at whose fault it is.If I feel insecure, then I am in the wrong profession. I have to trust my director and the material he has given me.I signed 'Aurangzeb' because I loved the story. I thought it was an untold tale. For whatever reason, the audience did not like the film. Fair enough, but I still enjoyed the process.Who would say no to a film like 'Gunday?'I want all my films to do well.Success demands sacrifices. I believe it's a small price to pay for the adulation and love one receives.It's silly to have a prototype, because one inevitably falls for someone unexpected. My only criterion is she shouldn't just look nice; she must have a personality, too.A relationship will be futile if it's based just on physicality. Intellectual stimulation is a must for me.I have learnt that women are superior beings. They have a higher threshold of pain and are more understanding and accepting than men. Also, if you listen to them, you'll understand them better.An actor should never be influenced by the surroundings, because you have to submit completely, and trust me, it's not a good feeling when you know that your father is going to come and watch you work every day!"
22,Arjun Rampal,"What challenges me is this - I want to walk out of a film with the experience of having done a film, not with a feeling that I have sleepwalked through it.For me, what is most important is the element of surprise. If I can surprise you with every film of mine, that is exactly what I am trying to do.India needs a change - it cannot be ruled by 80-year-olds and by people who have done nothing for it.I would be lying if I said I'm not flattered being voted as the 'Time's' Most Desirable Man of 2012. Frankly, I have no idea how the desirability quotient is arrived at. If it is just drop dead good looks, then I have to thank God and my parents for it.I think it is a combination of looks, aura, success, the energies that one gives out, the person you are and the person you feel like that makes you 'desirable.' When the outside world sees you as a man who is responsible for himself and his family, as a man who is fit and sensitive, it kind of ups your desirability.I have not taken my good looks seriously from the beginning. When I would be teased by my friends about my looks, I would just make a self-deprecating remark and let it pass.Physical attributes can make you appealing, but to keep the appeal going, one has to draw from within. You have to be a real person. Your fans and the people you associate with have to be able to see beyond your looks. You have to be a good friend, dutiful son and a good family man.I've been lucky to get some path-breaking films, which proved to be the turning point in my career. Be it 'Rock on!' 'The Last Lear' or 'Raajneeti,' directors started working in a different way.I like my films to have a certain amount of realism - something that's thought provoking and intelligently written. More than the amount on the pay cheque, I look for a level of respectability as an actor.Born in Jabalpur, I was brought up in Deolali, where my father ran a small business of making fire extinguishers."
23,Ashish Sharma,"I respect women but do not necessarily believe that women need to compete with men.You can ask my wife - there has always been mutual respect between us, and I believe women should be respected for what they are; at no point should they feel the need to be like men.There are too many positive and goody male characters on TV, and they work, so its good for them. I feel each to their own. If it works for them, it's fine. I don't connect to such characters, so I won't do them.I'd rather sit at home than be a part of a popular show and be a piece of furniture.If you see the roles that I've done so far, whether it was Gunahaon ka Devtaa, Chandragupta Maurya, or Rab Se, everything has been starkly different from each other.I choose grey characters, as I enjoy playing a human character. I don't shy away from showing the shortcomings of my characters.We always see a trend on TV, and others follow suit. I think 'Rangrasiya' will be a trend setter, too.Whenever you give a shot, the nervous energy in your stomach is the key to that emotional breakdown, that kick that is needed to perform.I have been doing action roles for a while and really wanted to explore the other side of my personality on screen.I haven't had any formal training, but I guess dance comes naturally to us - people from the north. See how much we dance at weddings."
24,Ashish Vidyarthi,"My father is a Malayalee, my mother is a Bengali.As an actor, I have travelled, met people and discovered that the only thing that matters is how we treat life, not complaining nor wanting better things.I was in a school called Shiv Niketan, run by Elizabeth Gauba, where she gave a lot of importance to people expressing themselves in whatever way they wanted - some could draw and answer, some could dance and answer, while some could act.No actor is totally happy with the roles they get.All of us play different roles in our chosen career. I play the role of an actor. But I realised I am also an actor apart from various roles I play in my personal life.Sometimes we think roles define us. One can emerge beyond the confines of their roles to make an impact on society.Doing anything with dedication impacts life positively.I like to be a creative variable rather than sticking to a dogma.I would be lying if I say I don't find it scary each time I come on stage.I'm essentially a traveller. I love to do many things."
25,Asrani,"When I was in film institute, stage plays were compulsory part of our training.The stage is one place where you come face to face with your audience, unlike cinemas where you cannot see the applause or the booing by the audience.Theatre gives you an altogether different kind of thrill which every actor who wants to grow must try.Every actor tries to come to Broadway be it Richard Burton, Marlon Brando or Liz Taylor or Shirley McClain.I had to work in 'Mastizaade,' I felt embarrassed.Bimal Roy never kept comedy out of the story line.One doesn't have to resort to cheap imitations of characters or people around you to make others laugh. At least, that is what I've always believed in.On a serious note, comedy should be something that you can enjoy with your family and not snigger when alone or with friends.Indoreans are not only welcoming, but very homely.Comedy is very effortless."
26,Ayushmann Khurrana,"Being a young parent, you can play cricket, football, and I can play chess with my son. In fact, he plays the piano better than I do.It is good to be a young father, a young parent. You have that energy, and you are growing up with them.I am the public, a boy from Chandigarh who's bought tickets in black and revered films since childhood, and when I choose scripts, I take out the garb of an actor-slash-star, and I consume the script as a layman.I couldn't be a conventional commercial actor without being a star-kid. That kind of a big film needs a certain mounting, a little paraphernalia around you. And nobody would give me that.I was very nervous as a child and had stage fright.In theatre, you learn the story is more important than the actor.I was very immature when I married.I always thought millennials are going westward, and they probably won't understand vernacular poetry.I have certain viewpoints that come out in certain shayaris.I approach every film as my first film."
27,Barun Sobti,"I have passed on on a lot of roles. I purely and simply do what I like.For me, as an actor, the challenge is mostly before the film starts when you have to get into the psychology of the character.Birthdays, for me, are not really important. It is just like any other day.My wife and I love to travel, so if we don't have work on either her or my birthday, we definitely travel.I am definitely a beach person. In fact, I am so much a beach person that my wife is allergic to beaches now.I like to have my share of parties, but I am not the late night person. Not that we don't do parties at all, but that does not happen very frequently.I personally think that people should spend more time and money on their marriages instead of weddings.You can't change what time has in store for you, as the only constant that I've known is change.The content has to be good; medium doesn't matter to me.No one actually knows how popular you are or how people think of you until and unless a few of the people who like your work walk up to you and let you know that you are really good. You can see the honesty in their eyes."
28,Bobby Deol,"I have done all kinds of roles - comedy, action, romance, and thrillers. Just name the genre, and I've done it.I always wanted to be an actor. My father inspired me since I was three years old.Good films will run, and people will watch it irrespective of whether it is suspense or a comedy.Every actor gets an image without wanting one. A lot of romantic heroes want an action hero tag, but they are unable to succeed even though their films are good.There is a sense of comfort working with Abbas-Mustan.I have seen both versions of 'The Italian Job' and loved both of them.Remakes are happening for a long time, and it is happening in the West, too. I don't believe anything is wrong in that.I can't think of any actor who doesn't have a flop in his career.Life is really good for me.My father and brother always forced me to work out, and I never liked doing it."
29,Boman Irani,"I get scared when I think I'm going to miss my flight. I get obsessed when I actually miss a flight.Chilli ice cream doesn't taste bad. But I wouldn't eat it again.It used to bug me that I couldn't even afford to take my family for a proper holiday. I didn't have any professional knowledge, and getting a photographer's job in a magazine was out of the question. So, armed with a Pentax K1000, I started going to various maidans of Mumbai, looking for subjects.To find one's calling is perhaps not the easiest thing in the world, but probably the most important.I like the cold; I don't have problem with cold, and I don't have problem with rain either, as long as people are smiling. You know, early in my career, I used to wonder about this fan frenzy, but now I realize that there is genuine love, respect and affection, which makes me very proud to be an actor.Sometime you go out and you wonder why these people are standing in the rain, and then you realize that years ago you were a fan, too. I, too, was chased by cops for watching my favourite celebrities.I used to follow celebrities, and I remember I watched Sanjay Dutt and Pooja Bhatt shooting for 'Sadak'. I was standing on the road at three in the night, but little did I know that I would be making a film with Sanjay at some point in my career.Once, Naseeruddin Shah told me that the wafer shop was the best acting school that I could have attended. And I completely agree. I observed every customer very minutely and picked up some quirk or the other. Later, I used those experiences while playing different characters.Our film industry as well as the audiences are now open to unconventional pairings and subjects, which has aided my journey greatly.Very few movies remain in public memory as landmark films, and I want to see whether '3 Idiots' will be up there with some of the wonderful films that have come out of this country... Hopefully, we'll come to know in a few years whether it can become one of the great films."
30,Brahmanandam,"I am a Venkateswara Swami devotee.I went to Mumbai thinking I will be away from media and fans, but right from the Governor of Maharashtra to aam janata, at least 60 people would come to visit me every day. There were calls, messages and I was so touched. I didn't know that people loved me so much and they want to see me back in action.I want to be visible to my fans.It's a great gift to be able to make people laugh.I'm the seventh child among eight siblings and have always had a gift for art.I'm sure every actor works as hard as me, if not more.Talent is a combination of perfect comic timing, diction, modulation, great script writing and most importantly, an invincible will, if you may call it so.Disney movies are a great outing for the entire family, and my children are huge fans of their classics, especially 'The Lion King.'Writer Kona Venkat is very good friend of mine.I do whatever the directors and writers ask me to do."
31,Dalip Tahil,"Destiny has put me in the profession that has kept me happy, and where I was supposed to be.People are always put in a box or slot.In the early days, some producers and directors saw me in the musical 'Evita' and cast me in their movies. They heard me singing on stage also, but they couldn't translate that into a Hindi movie song.I remember when I got into movies, the only way singers could be heard was to through playback singing in movies. Then gradually came the music companies promoting independent pop singers.Anyone can pick up an instrument if they want to express themselves or write a song and put it on YouTube. It's always technology that comes and turns around how we think creatively and what we do creatively.The everyday issues that we witness against women in the present day will throw light on the respect women enjoyed at the time of Ramayan.I worked for some of the major productions and did many jingles and voiceovers.Finally after 19 years of stage work Shyam Benegal noticed me and I got my first break as an actor in 'Ankur' after that I have been seen on and off on screen as a bad guy, as a father or as an uncle.Sindhis have a rich heritage, but they suffered massively during the Partition.My father was an Air Force officer at the time of partition."
32,Deep Roy,"I was a big fan of 'Star Trek.' But then again, you know, 'Star Trek', 'Star Wars', 'Doctor Who', I wasn't a big fan, but you know, when they ask you and they cast you and it drops in your lap, how can you say no to these franchises.Life is what you make of it. You can make it easy on yourself or you can make it hard.I don't play any instruments, but I do read a lot.I enjoy wine collecting and great food.Inspiration comes from within yourself. One has to be positive. When you're positive, good things happen.I am proportional, and I'm very lucky for that.Whether you're a dwarf, whether you're a midget, it's all branding.I see them turn around to get a second look. You hear a lot of people laugh at you. So what? I used to get upset about it, but not anymore. You know, laugh all you can.When Tim and I first discussed the part in 2003, he told me, 'I'd love for you to play five Oompas.' But five Oompas quickly turned into 165 - and they're not computerized; I did each one individually myself.I'm not a professional dancer, but I can move!"
33,Dev Anand,"Life is too short. I don't have time to speak slowly.You create a work of art. You do not know whether it will get public sanction. Sometimes outstanding films do no business, and sometimes films which are not so good work.I was the leading star in 1945. I slowed down my pace of acting assignments after I came into direction.I keep drawing inspiration from people every day. All of a sudden, something strikes me so hard and dramatically, and then a dream comes - I sit down, cut it off and make a script out of it.Motion picture making is a very, very involved affair. It is completely my baby. I'm a thorough professional. I plan films right from the conception of an idea to its final execution.If I wanted, I could have ruled half of Bombay.It's an institution that was born with my brother Chetan and me. I did it for him. I was becoming a big star in the late 1940s, and he needed a company to make films. So when he left Navketan, I brought in Goldie, and when Goldie left, I carried on alone. No book on Indian cinema is complete without mention of Navketan.Somebody came up with the idea of a double role, and I think 'Hum Dono' gave me a great double role - I played Captain Anand and Major Verma, the 'haw-haw' type of major.'Hum Dono' was accepted in a very big way. It was the official entry at the 1962 Berlin Film Festival.No film should be meaningless."
34,Dhanush,"Every man plays many roles. So far, I have played father the best.You can't always expect to work with a director who guarantees success.There is no such thing as a Bollywood hero or Hollywood hero. All you see on the screen is the lead actor's interpretation of the role that has been conceived by the writer.If I was not an actor, I would have been working in a five star hotel as a chef.Definition of love differs for different humans. If I will talk about me then its something that makes you forget about everything else.Unfortunately, I can only act; I do not have the looks, but I am very happy with what God has given me.Music is my breath, blood and food - without music I would perish; the actor in me would die.I have no clue as to where my interest and love for music came from. In fact, I have never learnt any music either, though I wish that I could just close my eyes and play the piano - that is my most cherished desire.I have played so many romantic roles that I don't know if I am really a romantic in real life. I get confused about the real me.I get emotionally attached with every film I do, and that stops me from being critical. I can't fight my emotions."
